year,total_real_consumption,pop,total_real_consumption_per_capita,filtered_growth_rate,unfiltered_log_consumption_level,unfiltered_growth_rate
1983,48934.34315499225,234333,208.82395204684042,0.03629601009403375,11.602234449007357,0.0746834281297648
1984,50849.50774528168,236394,215.10490006210682,0.02963425410775234,11.633752110770542,0.0315176617631856
1985,53174.33236519221,238506,222.94756679157845,0.03581080091315894,11.719422000217827,0.08566988944728493
1986,54882.388453783984,240683,228.0276897569998,0.0225304505646794,11.761150511717304,0.04172851149947654
1987,56963.53120887029,242843,234.5693769590653,0.028284326819824148,11.838228155212965,0.07707764349566126
1988,59255.48932384048,245061,241.7989370966432,0.030355147672619886,11.897463056288707,0.05923490107574203
1989,61067.727235194616,247387,246.85099554622764,0.02067835532194859,11.939985039030965,0.042521982742258047
1990,62591.643228713234,250181,250.18543865726508,0.013417499829845005,11.980513229681417,0.04052819065045199
1991,63286.7487654294,253530,249.62232779327655,-0.0022533107328425914,11.984138341057273,0.0036251113758556386
1992,65503.07669636997,256922,254.9531635919461,0.02113076930571584,12.048470964991113,0.06433262393383998
1993,67443.1724499404,260282,259.1157761579379,0.01619511791198454,12.056226866493642,0.007755901502529028
1994,69641.91861966901,263455,264.3408499351654,0.019964394622783602,12.10542174991842,0.049194883424778624
1995,71606.9773780019,266588,268.60540376161686,0.016004033500582156,12.135788323998314,0.030366574079893738
1996,73676.82324963617,269714,273.1664772671651,0.01683801403222791,12.17704182190748,0.04125349790916566
1997,75987.72550867467,272958,278.3861455193644,0.018927746396751956,12.217210076058922,0.04016825415144254
1998,79291.57436964262,276154,287.1281037741355,0.030919308222238664,12.281972799418478,0.06476272335955535
1999,82653.08607723645,279328,295.89975253908113,0.030092252319916996,12.333313688405768,0.05134088898729061
2000,86404.29282348091,282398,305.96637661555997,0.033454492467123634,12.407011737654416,0.07369804924864809
2001,88190.20294178082,285225,309.1952070883717,0.010497600011485173,12.425885629680488,0.018873892026071815
2002,89791.16274137054,287955,311.8235930661754,0.00846480548230636,12.471236776220382,0.04535114653989325
2003,92065.77506672683,290626,316.78437258444467,0.015783708692736702,12.507935510434498,0.03669873421411651
2004,94918.51809498144,293262,323.6645664797398,0.02148636110777995,12.546053235160905,0.03811772472640662
2005,97997.2512050803,295993,331.0796241974652,0.022651212067705845,12.588600582473042,0.04254734731213716
2006,100605.78204972326,298818,336.6791225753578,0.016771415295582473,12.623692747206135,0.03509216473309351
2007,102729.43988019251,301696,340.50646969198306,0.011303807741502513,12.655168612420155,0.031475865214019905
2008,103772.69852182367,304543,340.7489205853481,0.0007117768374717352,12.663134449195535,0.007965836775380097
2009,103050.54456377553,307240,335.40731859059866,-0.015800233174521734,12.64122023944261,-0.021914209752925018
2010,104589.15606533525,309839,337.5596876614476,0.00639667737043439,12.67450972374024,0.03328948429762946
2011,105984.74353920626,312295,339.3738085438648,0.005359832939457462,12.66010429166455,-0.014405432075689006
2012,106901.11766950277,314725,339.66516059894434,0.0008581306410921797,12.663186958259809,0.0030826665952581322
2013,108204.84469369496,317099,341.2336358477793,0.004607081202920078,12.678486959225108,0.015300000965298821
2014,110686.18831086998,319601,346.32616390709035,0.014813609485119223,12.706289516141918,0.027802556916810772
2015,113852.27121508082,322113,353.4544436737444,0.020373603546973432,12.738598381956235,0.03230886581431669
2016,116248.73133426913,324609,358.11924910975705,0.013111424185968645,12.760574528461815,0.021976146505579663
2017,118747.15,326860,363.2966713577679,0.014353747936170039,12.800303495399017,0.039728966937202514
2018,121464.75193746545,328794,369.4250866422911,0.016728200378529994,12.835210768341236,0.034907272942218626
2019,123907.90287077712,330513,374.89570113967414,0.014699879668304003,12.86437962779652,0.029168859455284135
2020,119469.27998773534,331840,360.0207328463577,-0.04048623595907865,12.77874714350183,-0.08563248429469006
2021,128750.50180357942,332505,387.2137315335993,0.07281519741336012,13.001824751876063,0.22307760837423274
2022,133528.215835732,334372,399.3403031226658,0.030837124972488892,12.935855949596435,-0.06596880227962743
2023,136658.23823084138,337141,405.3444648703106,0.01492329273679853,13.01757649710702,0.0817205475105851
2024,140326.22050306152,340212,412.46699264888224,0.01741894859787359,13.074125231900817,0.05654873479379674
